Title ID	Region	Type	Name	PKG direct link	Content ID	Last Modification Date	RAP	Download .RAP file	File Size	SHA256
NPUG30015	US	PSP	Groovin’ Blocks	http://zeus.dl.playstation.net/cdn/UP0017/NPUG30015_00/PrWQ22YtuciwBoWdvHUDV7mouN4j2lWYyMstJQs07kOl8FsES3ubd9tErVqKuvwY6DEoSrAQpytpUHAV0CsWtihKw0X9qdE1i5pxX.pkg	UP0017-NPUG30015_00-0000111122223333	2017-10-30 15:53:52			46067120	4ffd6cc5bb8daf348ea0d8d5d032b3a4df88030b09a0064f6e163177518f6000
NPUG30038	US	PSP	Bejeweled 2	http://zeus.dl.playstation.net/cdn/UP0017/NPUG30038_00/o9PKc89Jn6fVwAimAqvNUf8jPK6LbOYF9dGPCl4sY87JqgdCimj6T5x9GnA63nORfhOJ6aYaR2L3HKCWPTmhEUkcfxlCg6RRxMunJ.pkg	UP0017-NPUG30038_00-BEJEWELEDGAMEPSP	2017-10-30 15:53:52			59624096	6cb8d95631215e2e301911c6248e318ea3df6025f1428ef96364e5d952e41d0c
NPUG30040	US	PSP	Peggle	http://zeus.dl.playstation.net/cdn/UP0017/NPUG30040_00/yNY6s6EX3JmgPou6AGgWLGFFDVsmGVCcrOg9q6kis0IkverqWJHloTp3x20uWWWKbHjqQ5I2eIt2UCus7qmXvbtDxSoQGbTA7hE5h.pkg	UP0017-NPUG30040_00-PEGGLEGAMEPSP000	2017-10-30 15:53:52			33218672	318fc7abbfad9245af10ca2889bfe9249607af2a52fb26cb90ad81f5efa33bc8
NPUG30071	US	PSP	Patapon 3 Digital Guide	http://zeus.dl.playstation.net/cdn/UP9000/NPUG30071_00/agEWTxeORGCuUmyWouRvDvCIyLVtbbtPzwKdydFNqAuwrqqYNCzUSmWfZwVZUIvgRUSpHVAGFkZEjXHNTeZQTnDNGJWzktXbqbEcH.pkg	UP9000-NPUG30071_00-PATAPONDIGIGUIDE	2017-10-30 15:53:52			246790928	dfb22566d46549f2badd9e1df601530ff0a4376e77e25185761d890ded9db72b
NPUG70106	US	PSP	Patapon 3 MP (Demo)	http://zeus.dl.playstation.net/cdn/UP9000/NPUG70106_00/3OXCIPW1llhqJqQLikycf8q2RtkdIrs2IhUWVEFktli5KOMCTjSeGQfK3nmay7SiCQO5aTOFpchOYBg4wecvhUUSvoET3m5lY1T6i.pkg	UP9000-NPUG70106_00-0000000000000001	2017-10-30 15:53:52			115008256	d3f9632161a82f356ac78d2bd1c0df279b15e0c79781b12fdf7e49d0161a7ab2
NPUG80060	US	PSP	Beats	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80060_00/iB7Lsr2MToIrm5ge1r7UWylPCHjKu7FytGomoaiDb58eIeY3PKg9bsu4JtXog5409gvJUgAuenPkC90MJVtiG6a4OVIl4BOypq8oK.pkg	UP9000-NPUG80060_00-0000000000000000	2017-10-30 15:53:52			249504752	72142763faeb0acccd23fada31df7d69dd080fc9d0283627f399039cdbf3f83b
NPUG80061	US	PSP	Ape Quest (Prologue)	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80061_00/bvbD25XkEO4fW2aguCJuBhbBhkdWXdFcrJlhMF69hxPSq33eS9LevTh6dYpn7ORNCNUurWxCFdbW2RrhOUmoOw6RcBu1qGVCWpfUC.pkg	UP9000-NPUG80061_00-0000000000000001	2017-10-30 15:53:52			244180064	065bf5a19de11d887731031b411b384e6b334c7ed2d7eb54f9a5b7dfb3a3e443
NPUG80086	US	PSP	flOw	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80086_00/9SAniUubBfvbbf5Tpvn5npLdnkcdajsqPVV7plsnVY1cqaTw4SqhVV5ucrbqKLAGufIFxsniTC6xuVyDqjyJbTWSRtCXs0BSqsvhM.pkg	UP9000-NPUG80086_00-FLOWPSPDOWNLOAD1	2017-10-30 15:53:52			93700224	ebf7fd19bb26c19130446383bd03632afc23ca1112b4397ec0bf66b82c4fe2c9
NPUG80090	US	PSP	Go! Puzzle™	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80090_00/28fFkYcM31XkWpeLxYhS5FtngOORJ4PPNjCxfOfnt4HDLvWc21qneR0eb4M2kJcMjmaWeJNUayAKjDHFTXxKvdjwJeEAQB5gcxLN7.pkg	UP9000-NPUG80090_00-0000000000000001	2017-11-16 09:00:32			44437824	5b1feefe693cb553a884fcaa500eeea9624a8fce8ffa238b57723ed9db9ab165
NPUG80114	US	PSP	Syphon Filter: Combat Ops	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80114_00/COiaVxm8YDY3uMQqnChMtVE8EfSoVsTUtut4PImHf5sVtDPuYcGqdEUXGCufMMWGYxsl51JMkhglrH8KXfnR76VJWHwBI2EjGMRTw.pkg	UP9000-NPUG80114_00-0000000000000000	2017-10-30 15:53:52			70811280	2b626af123ff77f11686f4b146bebaff8b83d082bb74004956f5460c1575a93d
NPUG80135	US	PSP	echochrome	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80135_00/Uf33S4k7LP00I4XmiMBBW5MxQFkPv9jC93vajN33KqdjRXlVwliTYAN8jOQBfA318bGoINKobOA4Ne9tMAFveInMMhiIf3bdK14M4.pkg	UP9000-NPUG80135_00-ECHOCHROME000000	2017-10-30 15:53:52			46981824	243e5259e4dc5bf2149866889d5433eb92cb9f12db93f4275c8a6607c221f08b
NPUG80135	US	PSP	echochrome (Demo)	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80135_00/tLowyLbewm91bnSH80LqpKCnoD9PtInX82iChkC1s7drcrLk07UShfYUVKlWLXRC67KoYfOKDqfDmiR3x7GsxLwIndknbs8TSvjuM.pkg	UP9000-NPUG80135_00-ECHOCHROMEDEMO00	2017-10-30 15:53:52			47187488	0e90933711604abece9f582296dff7f5f48b56bcd1a9625c516269058ce9610b
NPUG80135	US	PSP	echochrome expansion (standalone)	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80135_00/tEH2Q0Wwf6s2mW8PiqMHhCNmduyK80LQ9cf0QuXSsfCUOAHJhqdJfnwT3CQMBdm6MdxqVIHYTShn7wPMcMdkxMycojJPJEykiOYCd.pkg	UP9000-NPUG80135_00-ECHOEXPANSION000	2017-10-30 15:53:52			25824624	8ea58437d62616c4f4667319f9cca8ee0dcd7281ec8abccb5dcd62073a86fd21
NPUG80155	US	PSP	Talkman Travel: Tokyo	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80155_00/w2kCvtC25dQdGqSeGgl1oJel2ywCHKxvecsJJTIje4Pc6AMGmMJdIeyxX2pgY7d97pnjrYwVKUkGBj1Aca5vWHX9PeD7Sc099Dx7e.pkg	UP9000-NPUG80155_00-TALKMANTOKYO0000	2017-10-30 15:53:52			18576560	b3ad1e435636e794e2db06386302b3f776930253fed5c7747dd7afd379821a94
